 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2019,,81,298,0,3,0,-1,3
2020,,126,523,-2,-3,0,3,-3
2021,,167,650,-3,3,5,3,8
2022,,506,"1,808",3,-14,10,6,5
