,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2009,PIT,NL,108,493,433,74,124,26,9,12,54,54,83,22,5,2,.286,.365,.471,.836
,2010,PIT,NL,154,653,570,94,163,35,5,16,56,70,89,33,10,5,.286,.365,.449,.814
*,2011,PIT,NL,158,678,572,87,148,34,5,23,89,89,126,23,10,9,.259,.364,.456,.820
*,2012,PIT,NL,157,673,593,107,194,29,6,31,96,70,132,20,12,5,.327,.400,.553,.953
*,2013,PIT,NL,157,674,583,97,185,38,5,21,84,78,101,27,10,9,.317,.404,.508,.912
*,2014,PIT,NL,146,648,548,89,172,38,6,25,83,84,115,18,3,10,.314,.410,.542,.952
*,2015,PIT,NL,157,685,566,91,165,36,3,23,96,98,133,11,5,12,.292,.401,.488,.889
,2016,PIT,NL,153,675,598,81,153,26,3,24,79,69,143,6,7,5,.256,.336,.430,.766
,2017,PIT,NL,156,650,570,94,159,30,2,28,88,73,116,11,5,4,.279,.363,.486,.849
,2018,SF,NL,130,568,482,65,123,28,2,15,55,73,123,13,6,7,.255,.357,.415,.772
,2018,NYY,AL,25,114,87,18,22,2,1,5,10,22,22,1,3,4,.253,.421,.471,.892
,2018,2 Teams,,155,682,569,83,145,30,3,20,65,95,145,14,9,11,.255,.368,.424,.792
,2019,PHI,NL,59,262,219,45,56,12,1,10,29,43,55,2,1,0,.256,.378,.457,.835
,2020,PHI,NL,57,241,217,32,55,9,0,10,34,22,48,4,0,1,.253,.324,.433,.757
,2021,PHI,NL,144,574,482,78,107,24,1,27,80,81,132,6,1,4,.222,.334,.444,.778
,2022,MIL,NL,134,580,515,66,122,25,0,17,69,57,124,8,6,4,.237,.316,.384,.700
,14 Seasons,5 Teams,,1895,8168,7035,1118,1948,392,49,287,1002,983,1542,205,84,81,.277,.369,.469,.838
