Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,28,28.5,4.36,7,28,10,87,87.3
2016,29,29.1,4.31,9,14,2,34,95.2
2017,30,28.9,4.3,19,27,2,67,90.2
2018,31,28.7,4.32,13,9,3,88,87.0
2019,32,28.9,4.32,3,9,2,64,90.8
2020,33,27.4,4.45,,27,3,175,65.2
2021,34,28.7,4.37,5,10,2,78,88.6
2022,35,28.9,4.38,15,1,1,66,89.6
