PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
"Peralta, F",5.0,2,1,1,0,3,1,3.56
"Rogers(W, 3-6)",1.1,2,0,0,0,2,0,4.27
"Boxberger(H, 24)",0.2,0,0,0,0,2,0,2.76
Houser,2.0,1,0,0,0,2,0,5.02
,9.0,5,1,1,0,9,1,
