BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,5,0,1,0,0,0,1,.214,.795
Bohm1B,4,0,1,0,1,1,1,.287,.727
HarperDH,4,1,2,0,0,1,3,.303,.943
RealmutoC,4,0,0,0,0,1,3,.268,.801
MarshCF,4,0,1,0,0,2,2,.241,.667
Segura2B,4,0,0,0,0,1,2,.282,.751
StottSS,3,2,2,1,1,1,0,.238,.664
"Maton, N3B",4,0,1,0,0,2,3,.291,1.039
VierlingRF,3,0,1,2,0,0,0,.236,.622
,35,3,9,3,2,9,15,,
