BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Rodríguez, JCF",5,2,3,2,0,2,0,.270,.807
France1B,4,0,1,2,1,1,0,.287,.800
WinkerLF,3,0,0,1,0,1,2,.227,.706
"Moore, DLF",0,0,0,0,0,0,0,.192,.707
HanigerDH,4,0,0,0,0,0,1,.278,.814
"Suárez, E3B",3,1,0,0,1,1,0,.223,.742
"Crawford, JSS",4,0,0,0,0,0,1,.259,.693
CasaliC,4,1,1,0,0,2,0,.228,.683
Frazier2B,4,2,2,2,0,1,0,.247,.630
HaggertyRF,4,2,2,1,0,1,0,.321,.878
,35,8,9,8,2,9,4,,
