,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2019,MIL,NL,51,183,156,24,36,6,2,6,24,20,48,1,0,4,.231,.328,.410,.738
,2020,SD,NL,59,252,215,42,54,8,3,10,26,31,64,10,1,3,.251,.352,.456,.808
,2021,SD,NL,132,527,462,61,112,28,3,15,62,54,119,13,5,6,.242,.327,.413,.740
,2022,SD,NL,152,524,451,58,83,16,2,17,53,57,150,7,1,7,.184,.284,.341,.625
,4 Seasons,2 Teams,,394,1486,1284,185,285,58,10,48,165,162,381,31,7,20,.222,.316,.395,.711
