,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,524,451,58,83,17,53,7,.184,.284,.341,.625
4 Seasons,1486,1284,185,285,48,165,31,.222,.316,.395,.711
