Season,Team,Pos,PA,Depth (ft.),Angle
2019,MIL,7,403,302,-28
2019,MIL,9,443,298,28
2019,MIL,8,563,331,0
2020,SD,8,2051,328,1
2021,SD,8,4443,320,1
2022,SD,8,4786,319,1
