Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2019,4,,1,1,0,1,2,1,1,3,88,94,6
2020,8,,2,0,3,5,1,2,1,3,89,94,5
2021,5,,1,-1,2,2,2,0,1,3,87,88,1
2022,17,,3,2,3,8,2,2,5,9,88,92,4
