BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Hill, DCF",5,0,3,0,0,0,1,.286,.631
"Báez, JSS",5,1,2,0,0,2,2,.246,.694
GrossmanRF,3,1,1,0,1,0,3,.273,.708
"Cabrera, MDH",4,0,1,2,0,1,4,.268,.663
Candelario3B,4,0,2,0,0,1,2,.207,.589
Schoop2B,4,0,0,0,0,1,3,.128,.353
"Castro, WLF",4,0,1,0,0,2,2,.240,.616
Torkelson1B,3,0,1,0,1,1,2,.173,.602
BarnhartC,4,0,0,0,0,2,4,.259,.618
,36,2,11,2,2,10,23,,
