PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Eovaldi,4.2,7,1,1,1,6,1,3.68
Strahm,1.1,0,0,0,0,1,0,1.50
"Robles(W, 1-0)",1.2,0,0,0,0,2,0,0.00
"Diekman(H, 4)",0.1,1,0,0,0,0,0,0.00
"Whitlock(S, 1)",1.0,0,0,0,0,0,0,0.93
,9.0,8,1,1,1,9,1,
