BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Thomas, LRF",4,0,0,1,0,1,3,.241,.726
Hernández2B,3,1,1,1,0,1,0,.269,.647
"Cruz, NDH",4,0,0,0,0,1,1,.265,.748
Bell1B,4,0,0,0,0,2,1,.294,.809
Franco3B,4,0,1,0,0,1,0,.261,.669
"García, LSS",4,0,1,1,0,1,0,.353,.829
AdamsC,3,1,1,0,1,1,2,.217,.651
AdrianzaLF,4,1,2,0,0,0,1,.200,.400
RoblesCF,3,1,1,0,0,0,1,.234,.603
,33,4,7,3,1,8,9,,
